id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penerima_manfaat,satuan,tahun
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,121545,KELUARGA PENERIMA MANFAAT,2019
59,32,JAWA BARAT,3205,KABUPATEN GARUT,142896,KELUARGA PENERIMA MANFAAT,2019
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,99296,KELUARGA PENERIMA MANFAAT,2019
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52994,KELUARGA PENERIMA MANFAAT,2019
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4388,KELUARGA PENERIMA MANFAAT,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,117025,KELUARGA PENERIMA MANFAAT,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,73823,KELUARGA PENERIMA MANFAAT,2019
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,57566,KELUARGA PENERIMA MANFAAT,2019
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,104832,KELUARGA PENERIMA MANFAAT,2019
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,70324,KELUARGA PENERIMA MANFAAT,2019
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,30562,KELUARGA PENERIMA MANFAAT,2019
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,87768,KELUARGA PENERIMA MANFAAT,2019
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,70392,KELUARGA PENERIMA MANFAAT,2019
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7649,KELUARGA PENERIMA MANFAAT,2019
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16945,KELUARGA PENERIMA MANFAAT,2019
73,32,JAWA BARAT,3271,KOTA BOGOR,21804,KELUARGA PENERIMA MANFAAT,2019
74,32,JAWA BARAT,3272,KOTA SUKABUMI,11525,KELUARGA PENERIMA MANFAAT,2019
75,32,JAWA BARAT,3273,KOTA BANDUNG,37044,KELUARGA PENERIMA MANFAAT,2019
76,32,JAWA BARAT,3274,KOTA CIREBON,1068,KELUARGA PENERIMA MANFAAT,2019
77,32,JAWA BARAT,3275,KOTA BEKASI,41838,KELUARGA PENERIMA MANFAAT,2019
78,32,JAWA BARAT,3276,KOTA DEPOK,25832,KELUARGA PENERIMA MANFAAT,2019
79,32,JAWA BARAT,3277,KOTA CIMAHI,9267,KELUARGA PENERIMA MANFAAT,2019
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,37795,KELUARGA PENERIMA MANFAAT,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,5307,KELUARGA PENERIMA MANFAAT,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,143717,KELUARGA PENERIMA MANFAAT,2020
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,108328,KELUARGA PENERIMA MANFAAT,2020
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,152362,KELUARGA PENERIMA MANFAAT,2020
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,124586,KELUARGA PENERIMA MANFAAT,2020
86,32,JAWA BARAT,3205,KABUPATEN GARUT,150056,KELUARGA PENERIMA MANFAAT,2020
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,105538,KELUARGA PENERIMA MANFAAT,2020
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,44614,KELUARGA PENERIMA MANFAAT,2020
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,40971,KELUARGA PENERIMA MANFAAT,2020
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,105782,KELUARGA PENERIMA MANFAAT,2020
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,70166,KELUARGA PENERIMA MANFAAT,2020
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,49697,KELUARGA PENERIMA MANFAAT,2020
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,81773,KELUARGA PENERIMA MANFAAT,2020
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,65943,KELUARGA PENERIMA MANFAAT,2020
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,26828,KELUARGA PENERIMA MANFAAT,2020
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,85819,KELUARGA PENERIMA MANFAAT,2020
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,78287,KELUARGA PENERIMA MANFAAT,2020
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8058,KELUARGA PENERIMA MANFAAT,2020
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16369,KELUARGA PENERIMA MANFAAT,2020
100,32,JAWA BARAT,3271,KOTA BOGOR,30466,KELUARGA PENERIMA MANFAAT,2020
101,32,JAWA BARAT,3272,KOTA SUKABUMI,11789,KELUARGA PENERIMA MANFAAT,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,42059,KELUARGA PENERIMA MANFAAT,2020
103,32,JAWA BARAT,3274,KOTA CIREBON,10415,KELUARGA PENERIMA MANFAAT,2020
